,cid,smiles
135,24812758,s1c(Cc2cc([C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)ccc2C)ccc1c1ccc(F)cc1
136,71820,C(C(c1ccccc1)c1ccccc1)C([N+](CC)(C)C)C
137,107715,[H][C@@]12CCCN1C(=O)[C@]([H])(CC1=CC=CC=C1)N1C(=O)[C@@](O[C@@]21O)(N=C(O)[C@@]1([H])CN(C)[C@]2([H])CC3=CNC4=CC=CC(=C34)[C@@]2([H])C1)C(C)C
138,62886,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2
139,62881,S(=O)(=O)(O)C.ON(CCCCCNC(=O)CCC(=O)N(O)CCCCCN)C(=O)CCC(=O)NCCCCCN(O)C(=O)C
140,444007,S(CC[C@H](NC(=O)[C@@H](NC(=O)CCNC(=O)OCC(C)C)Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C
141,444008,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC(=O)CC3)C[C@@]([H])(C)[C@@]21[H]
142,54670067,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
143,50922675,COC(=O)N[C@@H](C)CNC1=NC=CC(=N1)C1=CN(N=C1C1=CC(Cl)=CC(NS(C)(=O)=O)=C1F)C(C)C
144,1990,CC(=O)NO
145,1993,CC(C[N+](C)(C)C)OC(C)=O
146,10090,CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
147,3202,CC[N+](C)(C)C1=CC(O)=CC=C1
148,54737570,[C@]12(C(=C3C(=O)c4c([C@]([C@H]3C[C@H]2[C@@H](C(=C(C1=O)C(=O)N)O)N(C)C)(O)C)c(ccc4O)Cl)O)O
149,11499245,c1c(cc2c(c1)B(OC2)O)F
150,5312153,S(=O)(=O)(NC(=O)CCC/C=C\C[C@@H]1[C@H]([C@H](O)CC1=O)/C=C/[C@@H](O)COc1ccccc1)C
151,441383,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
152,10071196,Fc1ccc(CN(C2CCN(CC2)C)C(=O)NCc2ccc(OCC(C)C)cc2)cc1
